year,make,model,trim,body,transmission,state,condition,odometer,color,interior,mmr,sellingprice
2014,Nissan,Versa,1.6 SV,Sedan,automatic,ca,4.8,80.0,—,black,9975,11250
2008,BMW,5 Series,550i,Sedan,automatic,az,3.7,99529.0,silver,black,13550,13600
2013,Toyota,Corolla,S Special Edition,Sedan,automatic,ca,3.5,19377.0,gray,gray,11850,12400
2012,Mercedes-Benz,C-Class,C250 Sport,sedan,automatic,nv,3.6,41143.0,—,black,18600,18000
2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.9,29560.0,gray,black,21000,21000
2007,Mercedes-Benz,SLK-Class,SLK280,Convertible,automatic,nc,4.1,50060.0,silver,black,14050,13200
1992,Pontiac,Bonneville,SE,Sedan,automatic,az,2,173199.0,white,—,375,300
2013,Lincoln,MKS,Base,Sedan,automatic,fl,3.9,16141.0,gray,black,22500,22200
2005,Chrysler,300,C,Sedan,automatic,va,3.4,105961.0,black,gray,6450,6600
2013,Acura,ILX,Technology Package,Sedan,,pa,2,14057.0,black,black,21400,18800
2014,Mazda,CX-5,Touring,SUV,automatic,ga,3.7,47090.0,red,gray,18150,17900
2013,Acura,RDX,Base,SUV,automatic,fl,4.6,19172.0,gray,gray,25700,25800
2012,Ram,1500,SLT,Quad Cab,automatic,la,2.1,99522.0,white,black,15500,14200
2007,Chevrolet,Uplander,LT,Minivan,automatic,nc,2.8,108010.0,blue,gray,3800,4600
2015,Ford,Fusion,S,sedan,automatic,oh,3.7,13786.0,white,gray,14500,14500
2008,Chevrolet,Tahoe,LT,suv,automatic,ma,1.9,56354.0,black,tan,23200,15600
2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,fl,3.7,36087.0,black,black,19600,19200
2013,Ford,Escape,SEL,SUV,automatic,tn,5,11194.0,—,tan,20600,21200
2009,Toyota,Corolla,Base,Sedan,automatic,ga,2.8,87051.0,red,gray,6350,7000
2008,HUMMER,H3,Base,SUV,automatic,nc,4.6,75083.0,red,—,13850,14800
2014,Dodge,Challenger,R/T,coupe,automatic,tx,3.9,30292.0,black,black,24500,23000
2012,Dodge,Avenger,SE,sedan,automatic,tx,2.5,56578.0,gray,black,8625,8300
2008,Honda,Accord,LX,Sedan,automatic,mo,4.6,70593.0,silver,gray,8200,9800
2010,Chevrolet,Silverado 1500,Work Truck,Regular Cab,automatic,nv,2.5,96121.0,silver,black,9075,8000
2011,Hyundai,Sonata,GLS,sedan,,pa,3.4,68997.0,beige,beige,8850,8300
2014,,,,,,on,3.7,31470.0,gray,black,13850,13000
2013,Toyota,Camry,LE,Sedan,automatic,ga,3.7,63542.0,gray,gray,12500,12300
2012,Nissan,Altima,2.5 S,Sedan,automatic,ca,4.2,37024.0,blue,beige,11850,11750
2009,Toyota,Corolla,LE,Sedan,automatic,nj,3.4,69406.0,black,gray,7125,7500
2012,Chevrolet,Silverado 2500HD,LT,Extended Cab,,co,2.3,75043.0,white,black,20300,18500
2012,Volkswagen,Jetta,SE PZEV,Sedan,automatic,tx,3.9,63394.0,gray,black,8600,9100
2006,Acura,TL,Base,Sedan,automatic,ca,3.6,200939.0,gray,gray,3800,4700
2014,Ford,Escape,SE,SUV,automatic,oh,4.4,41182.0,red,gray,15950,15900
2012,Honda,Pilot,Touring,SUV,automatic,nv,3.5,70341.0,black,gray,23200,26200
2011,Infiniti,G Sedan,G37x,G Sedan,,nj,3.7,11607.0,—,tan,21400,22250
2011,Ford,Escape,XLS,suv,automatic,ca,3.9,77108.0,silver,tan,8625,9500
2005,Ford,Explorer Sport Trac,XLS,crew cab,automatic,fl,4.9,64179.0,red,gray,8175,9600
2012,Nissan,Rogue,S,SUV,automatic,co,4.8,34559.0,white,black,13950,15200
2013,Nissan,Altima,2.5,Sedan,automatic,co,4.4,15430.0,off-white,beige,18850,19500
2009,Jeep,Grand Cherokee,Laredo,SUV,automatic,ga,3.5,105234.0,silver,black,8125,9500
2013,Ford,Focus,SE,Sedan,automatic,ca,4.1,54888.0,white,black,8975,9700
2014,Volkswagen,Beetle,2.5L PZEV,hatchback,automatic,mo,3.8,30255.0,black,black,12950,12700
2014,Toyota,Corolla,S,Sedan,automatic,tx,3.7,36654.0,red,gray,14100,13800
2012,Honda,Accord,LX,sedan,automatic,fl,4,22152.0,gray,gray,12250,12600
2014,Nissan,Versa Note,1.6 SV,Hatchback,automatic,tn,4.8,7260.0,—,black,11000,13000
2006,Buick,Lucerne,CXS,Sedan,automatic,oh,1,152439.0,burgundy,tan,4000,2650
2013,Chevrolet,Express,LS 3500,Van,automatic,ca,2,34469.0,white,gray,20700,16800
2008,Pontiac,G8,GT,Sedan,,ca,2,56667.0,red,black,15100,12700
2013,Chevrolet,Sonic,LT,Hatchback,automatic,fl,3.1,55754.0,gray,black,7900,7800
